schema	atelier-codev-target-v1
status	ok
mode	target
stage	probe
source_zmx	US-12443014-B2-e1.zmx
num_fields	2
vignetting_edge	0
target.efl_mm	17.3271
target.f_number	3.8
seed_baseline.efl_y_mm	17.3376
seed_baseline.max_lateral_color_um	0
seed_baseline.max_rms_spot_diameter_um	0
seed_baseline.max_rms_wavefront_error_waves	0
seed_baseline.max_distortion_pct	1.34282
seed_baseline.fno	2.8
seed_baseline.epd_mm	6.19201
seed_baseline.maximh_mm	2.40579
config_pre_aut.efl_y_mm	17.3376
config_pre_aut.max_lateral_color_um	0
config_pre_aut.max_rms_spot_diameter_um	1649.63
config_pre_aut.max_rms_wavefront_error_waves	0
config_pre_aut.max_distortion_pct	1.34282
config_pre_aut.fno	3.8
config_pre_aut.epd_mm	4.56253
config_pre_aut.maximh_mm	2.40579
post_aut.efl_y_mm	16.8978
post_aut.max_lateral_color_um	0
post_aut.max_rms_spot_diameter_um	130.838
post_aut.max_rms_wavefront_error_waves	0
post_aut.max_distortion_pct	0.232892
post_aut.fno	3.8
post_aut.epd_mm	4.4468
post_aut.maximh_mm	2.34477
efl_target_deviation_pct	2.47746
aut_converged	0
