schema	atelier-codev-target-v1
status	ok
mode	target
stage	A
source_zmx	US-20260160979-A1-e3.zmx
num_fields	2
vignetting_edge	0
target.efl_mm	13.4203
seed_baseline.efl_y_mm	13.4233
seed_baseline.max_lateral_color_um	0
seed_baseline.max_rms_spot_diameter_um	12.5371
seed_baseline.max_rms_wavefront_error_waves	0.421418
seed_baseline.max_distortion_pct	1.77118
seed_baseline.fno	1.68
seed_baseline.epd_mm	7.99004
seed_baseline.maximh_mm	4.622
config_pre_aut.efl_y_mm	13.4233
config_pre_aut.max_lateral_color_um	0
config_pre_aut.max_rms_spot_diameter_um	12.5371
config_pre_aut.max_rms_wavefront_error_waves	0.421418
config_pre_aut.max_distortion_pct	1.77118
config_pre_aut.fno	1.68
config_pre_aut.epd_mm	7.99004
config_pre_aut.maximh_mm	4.622
post_aut.efl_y_mm	13.4203
post_aut.max_lateral_color_um	0
post_aut.max_rms_spot_diameter_um	7.0752
post_aut.max_rms_wavefront_error_waves	0.166019
post_aut.max_distortion_pct	1.74401
post_aut.fno	1.68
post_aut.epd_mm	7.98827
post_aut.maximh_mm	4.62098
efl_target_deviation_pct	9.237649e-11
aut_converged	1
