schema	atelier-codev-target-v1
status	ok
mode	target
stage	A
source_zmx	US-11940597-B2-e6.zmx
num_fields	2
vignetting_edge	0
target.efl_mm	19.6731
target.f_number	2
seed_baseline.efl_y_mm	19.6829
seed_baseline.max_lateral_color_um	0
seed_baseline.max_rms_spot_diameter_um	1678.6
seed_baseline.max_rms_wavefront_error_waves	71.5422
seed_baseline.max_distortion_pct	0.402885
seed_baseline.fno	3.57
seed_baseline.epd_mm	5.51341
seed_baseline.maximh_mm	3.25848
config_pre_aut.efl_y_mm	19.6829
config_pre_aut.max_lateral_color_um	0
config_pre_aut.max_rms_spot_diameter_um	0
config_pre_aut.max_rms_wavefront_error_waves	0
config_pre_aut.max_distortion_pct	0.402885
config_pre_aut.fno	2
config_pre_aut.epd_mm	9.84144
config_pre_aut.maximh_mm	3.25848
post_aut.efl_y_mm	19.6705
post_aut.max_lateral_color_um	0
post_aut.max_rms_spot_diameter_um	0
post_aut.max_rms_wavefront_error_waves	0
post_aut.max_distortion_pct	13.4988
post_aut.fno	2
post_aut.epd_mm	9.83525
post_aut.maximh_mm	3.25643
efl_target_deviation_pct	0.0133488
aut_converged	1
