schema	atelier-codev-target-v1
status	ok
mode	target
stage	A
source_zmx	US20170045714A1.zmx
num_fields	3
vignetting_edge	0.2
target.efl_mm	3.797
seed_baseline.efl_y_mm	3.97145
seed_baseline.max_lateral_color_um	1.37721
seed_baseline.max_rms_spot_diameter_um	9.97168
seed_baseline.max_rms_wavefront_error_waves	0.188776
seed_baseline.max_distortion_pct	3.98011
seed_baseline.fno	1.75
seed_baseline.epd	2.2694
seed_baseline.maximh_mm	2.80155
config_pre_aut.efl_y_mm	3.97145
config_pre_aut.max_lateral_color_um	1.37721
config_pre_aut.max_rms_spot_diameter_um	9.43415
config_pre_aut.max_rms_wavefront_error_waves	0.157331
config_pre_aut.max_distortion_pct	3.98011
config_pre_aut.fno	1.75
config_pre_aut.epd	2.2694
config_pre_aut.maximh_mm	2.80155
post_aut.efl_y_mm	3.81601
post_aut.max_lateral_color_um	5.01331
post_aut.max_rms_spot_diameter_um	68.1427
post_aut.max_rms_wavefront_error_waves	1.935
post_aut.max_distortion_pct	2.32347
post_aut.fno	1.75
post_aut.epd	2.18058
post_aut.maximh_mm	2.6919
efl_target_deviation_pct	0.500773
aut_converged	1
